customer_id,customer_name,email
1,Customer_1,customer1@example.com
2,Customer_2,customer2@example.com
3,Customer_3,customer3@example.com
4,Customer_4,customer4@example.com
5,Customer_5,customer5@example.com
6,Customer_6,customer6@example.com
7,Customer_7,customer7@example.com
8,Customer_8,customer8@example.com
9,Customer_9,customer9@example.com
10,Customer_10,customer10@example.com
11,Customer_11,customer11@example.com
12,Customer_12,customer12@example.com
13,Customer_13,customer13@example.com
14,Customer_14,customer14@example.com
15,Customer_15,customer15@example.com
16,Customer_16,customer16@example.com
17,Customer_17,customer17@example.com
18,Customer_18,customer18@example.com
19,Customer_19,customer19@example.com
20,Customer_20,customer20@example.com
21,Customer_21,customer21@example.com
22,Customer_22,customer22@example.com
23,Customer_23,customer23@example.com
24,Customer_24,customer24@example.com
25,Customer_25,customer25@example.com
26,Customer_26,customer26@example.com
27,Customer_27,customer27@example.com
28,Customer_28,customer28@example.com
29,Customer_29,customer29@example.com
30,Customer_30,customer30@example.com
31,Customer_31,customer31@example.com
32,Customer_32,customer32@example.com
33,Customer_33,customer33@example.com
34,Customer_34,customer34@example.com
35,Customer_35,customer35@example.com
36,Customer_36,customer36@example.com
37,Customer_37,customer37@example.com
38,Customer_38,customer38@example.com
39,Customer_39,customer39@example.com
40,Customer_40,customer40@example.com
41,Customer_41,customer41@example.com
42,Customer_42,customer42@example.com
43,Customer_43,customer43@example.com
44,Customer_44,customer44@example.com
45,Customer_45,customer45@example.com
46,Customer_46,customer46@example.com
47,Customer_47,customer47@example.com
48,Customer_48,customer48@example.com
49,Customer_49,customer49@example.com
50,Customer_50,customer50@example.com
51,Customer_51,customer51@example.com
52,Customer_52,customer52@example.com
53,Customer_53,customer53@example.com
54,Customer_54,customer54@example.com
55,Customer_55,customer55@example.com
56,Customer_56,customer56@example.com
57,Customer_57,customer57@example.com
58,Customer_58,customer58@example.com
59,Customer_59,customer59@example.com
60,Customer_60,customer60@example.com
61,Customer_61,customer61@example.com
62,Customer_62,customer62@example.com
63,Customer_63,customer63@example.com
64,Customer_64,customer64@example.com
65,Customer_65,customer65@example.com
66,Customer_66,customer66@example.com
67,Customer_67,customer67@example.com
68,Customer_68,customer68@example.com
69,Customer_69,customer69@example.com
70,Customer_70,customer70@example.com
71,Customer_71,customer71@example.com
72,Customer_72,customer72@example.com
73,Customer_73,customer73@example.com
74,Customer_74,customer74@example.com
75,Customer_75,customer75@example.com
76,Customer_76,customer76@example.com
77,Customer_77,customer77@example.com
78,Customer_78,customer78@example.com
79,Customer_79,customer79@example.com
80,Customer_80,customer80@example.com
81,Customer_81,customer81@example.com
82,Customer_82,customer82@example.com
83,Customer_83,customer83@example.com
84,Customer_84,customer84@example.com
85,Customer_85,customer85@example.com
86,Customer_86,customer86@example.com
87,Customer_87,customer87@example.com
88,Customer_88,customer88@example.com
89,Customer_89,customer89@example.com
90,Customer_90,customer90@example.com
91,Customer_91,customer91@example.com
92,Customer_92,customer92@example.com
93,Customer_93,customer93@example.com
94,Customer_94,customer94@example.com
95,Customer_95,customer95@example.com
96,Customer_96,customer96@example.com
97,Customer_97,customer97@example.com
98,Customer_98,customer98@example.com
99,Customer_99,customer99@example.com
100,Customer_100,customer100@example.com
